name,nationalities,date_of_listing,source
Vadim Evgenievich SHADURA,Belarus,2022-03-16,cannada
Vitaly Fridrikovich KILCHEVSKY,Belarus,2022-03-16,cannada
Valery Ivanovich YANUSHKEVICH,Belarus,2022-03-16,cannada
Sergey Nikolayevich GRINYUK,Belarus,2022-03-16,cannada
Vyacheslav Aleksandrovich LENKEVICH,Belarus,2022-03-16,cannada
Aleksandr Viktorovich NAUMENKO,Belarus,2022-03-16,cannada
Vladimir Vladimirovich KULAZHIN,Belarus,2022-03-16,cannada
Aleksandr Vasilevich SHAKUTIN,Belarus,2022-04-05,cannada
Vladimir Pavlovich PEFTIEV,Belarus,2022-04-05,cannada
Anatoly Andreevich TERNAVSKY,Belarus,2022-04-05,cannada
Pavel Georgievich TOPUZIDIS,Belarus,2022-04-05,cannada
Evgeniy Rafilovich BASKIN,Belarus,2022-04-05,cannada
Valentin Valentinovich BAIKO,Belarus,2022-04-05,cannada
Andrey Valeryanovich BURDYKO,Belarus,2022-04-05,cannada
Sergey Dmitrievich SIMONENKO,Belarus,2022-04-05,cannada
Andrey Vladimirovich ZHUK,Belarus,2022-04-05,cannada
Dzmitry Valeryevich PAULICHENKA,Belarus,2022-06-25,cannada
Yury Leanidavich SIVAKOV,Belarus,2022-06-25,cannada
Viktar Uladzimiravich SHEIMAN,Belarus,2022-06-25,cannada
Andrii SICH,Belarus,2022-06-25,cannada
Igor Viktorovich PETRISHENKO,Belarus,2022-06-25,cannada
Yury Victorovych NAZAROV,Belarus,2022-06-25,cannada
Roman Aleksandrovich GOLOVCHENKO,Belarus,2022-06-25,cannada
Vladimir Vladimirovich MAKEY,Belarus,2022-06-25,cannada
Yury Mikhailovich SELIVERSTOV,Belarus,2022-06-25,cannada
Aleksander Viktorovich CHERVYAKOV,Belarus,2022-06-25,cannada
Viktor Mikhailovich KARANKEVICH,Belarus,2022-06-25,cannada
Uladzimir Borisovich PIARTSOU,Belarus,2022-06-25,cannada
Kanstantsin Konstantinovich SHULHAN,Belarus,2022-06-25,cannada
Vladislav Leonidovich BRUEV,Belarus,2022-11-17,cannada
Viktor Vladimirovich GULEVICH,Belarus,2022-11-17,cannada
Petr Alekseevich KIRICHENKO,Belarus,2022-11-17,cannada
Dmitry Yurevich GORA,Belarus,2022-11-17,cannada
Oleg Anatolyevich EIBATOV,Belarus,2022-11-17,cannada
Dmitry Alexandrovich VINNIKOV,Belarus,2022-11-17,cannada
Aleksandr Nikolaevich PASHKEVICH,Belarus,2022-11-17,cannada
Yuri Nikolaevich PYZHIK,Belarus,2022-11-17,cannada
Andrey Yulianovych LUKYANOVICH,Belarus,2022-11-17,cannada
Aleksei Alekseevich LYAKHNOVICH,Belarus,2022-11-17,cannada
Aleksandr Vitalyevich LOZITSKY,Belarus,2022-11-17,cannada
Igor Viktorovich DEMIDENKO,Belarus,2022-11-17,cannada
Vladimir Mikhailovich MOROZOV,Belarus,2022-11-17,cannada
Natalia Ivanovna KOCHANOVA,Belarus,2022-11-17,cannada
Nikolay Mikhailovich ROGASHCHUK,Belarus,2022-11-17,cannada
Vadim Ivanovich DENISENKO,Belarus,2022-11-17,cannada
Andrey Konstantinovich NEKRASHEVICH,Belarus,2022-11-17,cannada
Yuri Vitoldovich SHULEYKO,Belarus,2022-11-17,cannada
Ivan Ivanovich KRUPKO,Belarus,2022-11-17,cannada
Oleg Alekseevich BELOKONEV,Belarus,2022-11-17,cannada
Vladimir Pavlovich ANDREICHENKO,Belarus,2022-11-17,cannada
Vladimir Nikolaevich KUPRIYANYUK,Belarus,2022-11-17,cannada
Alexei Konstantinovich TALAI,Belarus,2023-08-04,cannada
Aleksandr Sergeevich KRIVETS,Belarus,2023-08-04,cannada
Ivan Mikhailovich EISMANT,Belarus,2023-08-04,cannada
Vladimir Stepanovich KARANIK,Belarus,2023-08-04,cannada
Anna Andreevna PUSHKAREVA,Belarus,2023-08-04,cannada
Sergei Victorovich SHEIMAN,Belarus,2023-08-04,cannada
Olga Viktorovna SHEIMAN,Belarus,2023-08-04,cannada
Oleg Grigorievich MISHCHENKO,Belarus,2024-08-08,cannada
Pavel Nikolaevich MURAVEIKO,Belarus,2024-08-08,cannada
Andrei Valentinovich FEDIN,Belarus,2024-08-08,cannada
Vladislav Nikolayevich PAVLENKO,Belarus,2025-01-24,cannada
Vladimir Vladimirovich CHUDAKOV,Belarus,2025-01-24,cannada
Anatoly Nikolayevich SAVENOK,Belarus,2025-01-24,cannada
Hailun Zhu,China,2021-03-21,cannada
Junzheng Wang,China,2021-03-21,cannada
Mingshan Wang,China,2021-03-21,cannada
Mingguo Chen,China,2021-03-21,cannada
Quanguo Chen,China,2024-12-09,cannada
Erkin Tuniyaz,China,2024-12-09,cannada
Shohrat Zakir,China,2024-12-09,cannada
Jiarui Peng,China,2024-12-09,cannada
Yingjie Wu,China,2024-12-09,cannada
Hongbo Zhang,China,2024-12-09,cannada
Liujun Huo,China,2024-12-09,cannada
Quan You,China,2024-12-09,cannada
David Chai Chasdai,Extremist Settler Violence,2024-05-16,cannada
Yinon Levi,Extremist Settler Violence,2024-05-16,cannada
Zvi Bar Yosef,Extremist Settler Violence,2024-05-16,cannada
Moshe Sharvit,Extremist Settler Violence,2024-05-16,cannada
Daniella Weiss,Extremist Settler Violence,2024-06-26,cannada
Elisha Yered,Extremist Settler Violence,2024-06-26,cannada
Einan Tanjil,Extremist Settler Violence,2024-06-26,cannada
Shalom Zicherman,Extremist Settler Violence,2024-06-26,cannada
Ely Federman,Extremist Settler Violence,2024-06-26,cannada
Ben Zion Gopstein,Extremist Settler Violence,2024-06-26,cannada
Meir Mordechai Ettinger,Extremist Settler Violence,2024-06-26,cannada
Neria Ben Pazi,Extremist Settler Violence,2024-09-17,cannada
Noam Federman,Extremist Settler Violence,2024-09-17,cannada
Eden Levi,Extremist Settler Violence,2024-09-17,cannada
Shlomo Sarid,Extremist Settler Violence,2024-09-17,cannada
María Consuelo PORRAS Argueta de Porres,Guatemala,2024-02-16,cannada
Cinthia Edelmira MONTERROSO Gómez,Guatemala,2024-02-16,cannada
José Rafael CURRUCHICHE Cucul,Guatemala,2024-02-16,cannada
Jimi Rodolfo BREMER Ramírez,Guatemala,2024-02-16,cannada
Youri Latortue,Haiti,2022-11-03,cannada
Joseph Lambert,Haiti,2022-11-03,cannada
Rony Célestin,Haiti,2022-11-17,cannada
Michel Joseph Martelly,Haiti,2022-11-17,cannada
Laurent Salvador Lamothe,Haiti,2022-11-17,cannada
Hervé Fourcand,Haiti,2022-11-17,cannada
Gary Bodeau,Haiti,2022-11-17,cannada
