name,nationalities,date_of_listing,source
Sergey Nikolayevich GRINYUK,Belarus,2022-03-16,Cannada
Vyacheslav Aleksandrovich LENKEVICH,Belarus,2022-03-16,Cannada
Aleksandr Viktorovich NAUMENKO,Belarus,2022-03-16,Cannada
Vladimir Vladimirovich KULAZHIN,Belarus,2022-03-16,Cannada
Aleksandr Vasilevich SHAKUTIN,Belarus,2022-04-05,Cannada
Vladimir Pavlovich PEFTIEV,Belarus,2022-04-05,Cannada
Anatoly Andreevich TERNAVSKY,Belarus,2022-04-05,Cannada
Pavel Georgievich TOPUZIDIS,Belarus,2022-04-05,Cannada
Evgeniy Rafilovich BASKIN,Belarus,2022-04-05,Cannada
Valentin Valentinovich BAIKO,Belarus,2022-04-05,Cannada
Andrey Valeryanovich BURDYKO,Belarus,2022-04-05,Cannada
Sergey Dmitrievich SIMONENKO,Belarus,2022-04-05,Cannada
Andrey Vladimirovich ZHUK,Belarus,2022-04-05,Cannada
Dzmitry Valeryevich PAULICHENKA,Belarus,2022-06-25,Cannada
Yury Leanidavich SIVAKOV,Belarus,2022-06-25,Cannada
Viktar Uladzimiravich SHEIMAN,Belarus,2022-06-25,Cannada
Andrii SICH,Belarus,2022-06-25,Cannada
Igor Viktorovich PETRISHENKO,Belarus,2022-06-25,Cannada
Yury Victorovych NAZAROV,Belarus,2022-06-25,Cannada
Roman Aleksandrovich GOLOVCHENKO,Belarus,2022-06-25,Cannada
Vladimir Vladimirovich MAKEY,Belarus,2022-06-25,Cannada
Yury Mikhailovich SELIVERSTOV,Belarus,2022-06-25,Cannada
Aleksander Viktorovich CHERVYAKOV,Belarus,2022-06-25,Cannada
Viktor Mikhailovich KARANKEVICH,Belarus,2022-06-25,Cannada
Uladzimir Borisovich PIARTSOU,Belarus,2022-06-25,Cannada
Kanstantsin Konstantinovich SHULHAN,Belarus,2022-06-25,Cannada
Vladislav Leonidovich BRUEV,Belarus,2022-11-17,Cannada
Viktor Vladimirovich GULEVICH,Belarus,2022-11-17,Cannada
Petr Alekseevich KIRICHENKO,Belarus,2022-11-17,Cannada
Dmitry Yurevich GORA,Belarus,2022-11-17,Cannada
Oleg Anatolyevich EIBATOV,Belarus,2022-11-17,Cannada
Dmitry Alexandrovich VINNIKOV,Belarus,2022-11-17,Cannada
Aleksandr Nikolaevich PASHKEVICH,Belarus,2022-11-17,Cannada
Yuri Nikolaevich PYZHIK,Belarus,2022-11-17,Cannada
Andrey Yulianovych LUKYANOVICH,Belarus,2022-11-17,Cannada
Aleksei Alekseevich LYAKHNOVICH,Belarus,2022-11-17,Cannada
Aleksandr Vitalyevich LOZITSKY,Belarus,2022-11-17,Cannada
Igor Viktorovich DEMIDENKO,Belarus,2022-11-17,Cannada
Vladimir Mikhailovich MOROZOV,Belarus,2022-11-17,Cannada
Natalia Ivanovna KOCHANOVA,Belarus,2022-11-17,Cannada
Nikolay Mikhailovich ROGASHCHUK,Belarus,2022-11-17,Cannada
Vadim Ivanovich DENISENKO,Belarus,2022-11-17,Cannada
Andrey Konstantinovich NEKRASHEVICH,Belarus,2022-11-17,Cannada
Yuri Vitoldovich SHULEYKO,Belarus,2022-11-17,Cannada
Ivan Ivanovich KRUPKO,Belarus,2022-11-17,Cannada
Oleg Alekseevich BELOKONEV,Belarus,2022-11-17,Cannada
Vladimir Pavlovich ANDREICHENKO,Belarus,2022-11-17,Cannada
Vladimir Nikolaevich KUPRIYANYUK,Belarus,2022-11-17,Cannada
Alexei Konstantinovich TALAI,Belarus,2023-08-04,Cannada
Aleksandr Sergeevich KRIVETS,Belarus,2023-08-04,Cannada
Ivan Mikhailovich EISMANT,Belarus,2023-08-04,Cannada
Vladimir Stepanovich KARANIK,Belarus,2023-08-04,Cannada
Anna Andreevna PUSHKAREVA,Belarus,2023-08-04,Cannada
Sergei Victorovich SHEIMAN,Belarus,2023-08-04,Cannada
